                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4401,                 5.3349,                 3.6741,                  1e-05,                0.00515,                      0,                      0,                 5.9245,                 18.368,                 4.2419,             0.00055057,             0.00055057,             0.00055057
                      2,                 2.4432,                 2.8614,                 2.0623,                0.23256,                0.34396,                 0.1535,                0.07753,                 2.1712,                 8.6117,                 1.7939,              0.0010515,              0.0010515,              0.0010515
                      3,                 1.9164,                 1.9762,                 1.6343,                0.22541,                0.44377,                0.19558,                0.09413,                 1.8806,                  4.553,                 1.5718,              0.0014974,              0.0014974,              0.0014974
                      4,                 1.7871,                 1.6779,                 1.4976,                0.22436,                0.59361,                0.20805,                0.12179,                 1.5015,                 3.6525,                 1.3499,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.6309,                 1.4918,                 1.4103,                0.22633,                0.64612,                0.22159,                0.13429,                 1.4343,                 3.8458,                 1.2959,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.5085,                 1.3249,                 1.3197,                0.21191,                0.70516,                0.23656,                0.14225,                 1.3876,                 3.3376,                 1.2505,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.4529,                  1.263,                 1.2702,                0.21454,                0.68181,                0.21698,                0.13668,                 1.3203,                 4.2863,                 1.2061,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.3592,                  1.153,                 1.2191,                0.22765,                0.62823,                0.21912,                0.14184,                 1.2167,                 3.2963,                 1.1553,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.3378,                 1.0901,                 1.2038,                0.22455,                0.78144,                0.23789,                0.16386,                 1.1827,                 3.4461,                 1.1309,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.2871,                 1.0663,                 1.1784,                0.21742,                 0.8601,                0.23431,                0.15869,                 1.1556,                 3.5512,                 1.1208,             0.00092435,             0.00092435,             0.00092435
                     11,                  1.194,                0.99217,                 1.1828,                0.22714,                0.77839,                0.23571,                0.15574,                  1.149,                 3.5616,                 1.1008,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.1423,                0.93216,                 1.1376,                0.22632,                 0.7912,                0.24353,                0.16496,                 1.1013,                 3.5815,                 1.0862,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.1004,                0.88404,                 1.1166,                0.22481,                0.87838,                0.23045,                 0.1581,                 1.1344,                 3.0946,                 1.0904,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.0818,                 0.8668,                 1.1153,                0.22756,                 0.9059,                0.23609,                0.16829,                 1.0349,                  3.383,                 1.0495,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.0547,                0.84602,                 1.0956,                0.22761,                0.93167,                0.23466,                0.16857,                 1.0445,                 4.0395,                 1.0484,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.0183,                0.82959,                 1.0807,                0.21632,                0.92384,                0.22925,                0.16529,                 1.0103,                 3.8044,                 1.0345,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0034,                0.78941,                 1.0662,                0.23062,                0.83184,                0.23427,                0.17462,                0.95492,                 3.1626,                 1.0158,             0.00034674,             0.00034674,             0.00034674
                     18,                0.97955,                0.78786,                 1.0497,                0.22337,                 0.8637,                0.23326,                0.17301,                 1.0045,                 3.7397,                 1.0282,             0.00026422,             0.00026422,             0.00026422
                     19,                0.95189,                0.75815,                 1.0527,                0.22076,                0.92518,                 0.2398,                 0.1782,                 0.9447,                 3.4733,                 1.0042,              0.0001817,              0.0001817,              0.0001817
                     20,                0.94246,                0.74524,                 1.0456,                0.22245,                0.93269,                0.23552,                0.17824,                0.92076,                 3.3725,                0.99791,             9.9187e-05,             9.9187e-05,             9.9187e-05
